;link;room;area;floor;all_floors;subway;sub_time;address;price
4087;https://www.mirkvartir.ru/302731880/;4;103.0;19;20;Калужская;-;Москва, ул. Академика Волгина, 8;36750000
4088;https://www.mirkvartir.ru/300383660/;258;1014.0;-;-;Аэропорт;-;Москва, Ленинградский пр-кт, 80к66;9300000
4089;https://www.mirkvartir.ru/298849808/;1;40.0;21;22;Лермонтовский Проспект;-;Московская область, Люберецкий р-н, Люберцы, ул. Кирова, 9к3;9500000
4090;https://www.mirkvartir.ru/300387911/;1;20.0;7;9;Селигерская;-;Москва, Дегунинская ул., 10к4;6550000
4091;https://www.mirkvartir.ru/301434461/;-;20.0;13;33;Коньково;-;Москва, Профсоюзная ул., 111а;8000000
4092;https://www.mirkvartir.ru/297493850/;2;61.0;21;25;Свиблово;-;Москва, Радужная ул., 9;12590000
4093;https://www.mirkvartir.ru/303849764/;1;47.0;5;16;Теплый Стан;-;Москва, п. Мосрентген, 35;12000000
4094;https://www.mirkvartir.ru/303854056/;2;63.2;2;10;Маяковская;-;Москва, Новослободская ул., 24стр2;73000000
4095;https://www.mirkvartir.ru/303858915/;1;36.9;22;29;Народное Ополчение;-;Москва, ул. Шеногина, 2;21600000
4096;https://www.mirkvartir.ru/302055805/;1;30.0;10;15;Коммунарка;-;Москва, ул. Василия Ощепкова, 3;9700000
4097;https://www.mirkvartir.ru/303858414/;2;54.7;16;19;Коньково;-;Москва, Профсоюзная ул., 98к65;17300000
4098;https://www.mirkvartir.ru/298894495/;2;64.0;24;25;Новохохловская;-;Москва, Рязанский пр-кт, 2/1к3Л;25400000
4099;https://www.mirkvartir.ru/301051633/;2;53.8;8;17;Сходненская;-;Москва, Сходненская ул., 6к1;19900000
4100;https://www.mirkvartir.ru/302146457/;3;87.0;18;32;Спартак;-;Москва, Авиационная ул., 77к1;48500000
4101;https://www.mirkvartir.ru/299337038/;1;55.0;23;25;Саларьево;-;Москва, Радужная ул., 14к1;10999000
4102;https://www.mirkvartir.ru/301486602/;2;58.0;23;25;Бульвар Рокоссовского;-;Москва, Погонный проезд, 14;18500000
4103;https://www.mirkvartir.ru/299332722/;1;41.5;12;12;Селигерская;-;Москва, Дубнинская ул., 22к3;9600000
4104;https://www.mirkvartir.ru/302633397/;1;37.8;2;18;Медведково;-;Москва, Полярная ул., 22;11490000
4105;https://www.mirkvartir.ru/303475978/;2;50.0;12;23;Минская;-;Москва, Веерная ул., 22;19900000
4106;https://www.mirkvartir.ru/291996638/;1;38.9;8;14;Озёрная;-;Москва, Большая Очаковская ул., 32;12500000
4107;https://www.mirkvartir.ru/299242820/;6;234.0;4;6;Тушинская;-;Москва, Береговая ул., 4к1;202500000
4108;https://www.mirkvartir.ru/304570855/;3;76.0;12;18;Бульвар Рокоссовского;-;Москва, Детская ул., 19;29900000
4109;https://www.mirkvartir.ru/301672890/;1;44.2;10;24;Лухмановская;-;Москва, Лухмановская ул., 22;9890000
4110;https://www.mirkvartir.ru/299569652/;2;54.5;5;12;Планерная;-;Москва, Новокуркинское ш., 43;15700000
4111;https://www.mirkvartir.ru/303848080/;1;44.3;12;24;Ховрино;-;Москва, Клинская ул., 16к15;13800000
4112;https://www.mirkvartir.ru/301119950/;1;31.0;3;15;Новопеределкино;20;Москва, Пасечная ул., 5астр3;4865000
4113;https://www.mirkvartir.ru/295613024/;1;34.4;10;12;Сходненская;-;Москва, Планерная ул., 22к1;12000000
4114;https://www.mirkvartir.ru/303854660/;1;39.95;8;14;Жулебино;-;Москва, ул. Вольская 1-я, 24к1;7700000
4115;https://www.mirkvartir.ru/297148937/;1;37.7;3;14;Селигерская;-;Москва, Бескудниковский б-р, 8к3;10990000
4116;https://www.mirkvartir.ru/303073930/;2;50.0;5;6;Южная;-;Москва, Сумской проезд, 7;7400000
4117;https://www.mirkvartir.ru/303250157/;1;39.0;2;22;Кантемировская;-;Москва, ул. Москворечье, 38;11450000
4118;https://www.mirkvartir.ru/301752682/;4;140.0;9;18;Тропарёво;-;Москва, ул. Островитянова, 42;50000000
4119;https://www.mirkvartir.ru/299504968/;2;124.5;25;25;Проспект Вернадского;-;Москва, ул. Новаторов, 34к7стр1;38000000
4120;https://www.mirkvartir.ru/304044144/;1;24.0;10;10;Черкизовская;-;Москва, Ивантеевская ул., 13;8500000
4121;https://www.mirkvartir.ru/300195272/;3;78.2;8;16;Бульвар Адмирала Ушакова;-;Москва, ул. Горчакова, 7;17400000
4122;https://www.mirkvartir.ru/297506357/;4;105.0;14;18;Окружная;-;Москва, Большая Академическая ул., 63а;38000000
4123;https://www.mirkvartir.ru/299861697/;3;109.6;7;23;Кантемировская;-;Москва, Пролетарский пр-кт, 710;33500000
4124;https://www.mirkvartir.ru/299215170/;4;200.0;3;5;Электрозаводская;-;Москва, Бауманская ул., 26;65000000
4125;https://www.mirkvartir.ru/293393231/;2;37.3;1;9;Севастопольская;-;Москва, ул. Каховка, 27к2;12500000
4126;https://www.mirkvartir.ru/297434608/;2;47.0;6;9;Пражская;-;Москва, Чертановская ул., 13а;13990000
4127;https://www.mirkvartir.ru/304061311/;2;64.0;5;8;ЗИЛ;-;Москва, ул. Лобанова, 2/21;20500000
4128;https://www.mirkvartir.ru/297537938/;3;59.0;4;5;Спартак;-;Москва, ул. Свободы, 8/4стр1;19399000
4129;https://www.mirkvartir.ru/303850396/;1;39.4;18;22;Аннино;-;Москва, Старобитцевская ул., 19к2;10750000
4130;https://www.mirkvartir.ru/285905083/;2;69.2;9;9;Новохохловская;-;Москва, ул. Верхняя Хохловка, 39/47;21000000
